date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2025-06-30,sh.600028,5.56951924,5.57935938,5.53999882,5.54983896,97703179.0,0.103,15.108441,0.226435,-89.705253,0.819131,0.016032
2025-07-01,sh.600028,5.54983896,5.58919952,5.53015868,5.56951924,87544040.0,0.0923,15.162017,0.227238,-90.023356,0.822036,0.016032
2025-07-02,sh.600028,5.57935938,5.6088798,5.56951924,5.59903966,110109984.0,0.1161,15.242381,0.228443,-90.500512,0.826393,0.016032
2025-07-03,sh.600028,5.6088798,5.61871994,5.54983896,5.56951924,124725734.0,0.1315,15.162017,0.227238,-90.023356,0.822036,0.016032
2025-07-04,sh.600028,5.56951924,5.59903966,5.5596791,5.58919952,113433306.0,0.1196,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-07-07,sh.600028,5.57935938,5.57935938,5.53999882,5.5596791,88986744.0,0.0938,15.135229,0.226837,-89.864304,0.820584,0.016032
2025-07-08,sh.600028,5.56951924,5.59903966,5.54983896,5.58919952,100850927.0,0.1063,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-07-09,sh.600028,5.58919952,5.63840022,5.57935938,5.58919952,135271858.0,0.1426,15.215593,0.228041,-90.34146,0.824941,0.016032
2025-07-10,sh.600028,5.59903966,5.68760092,5.59903966,5.66792064,225011608.0,0.2372,15.429897,0.231253,-91.613875,0.83656,0.016032
2025-07-11,sh.600028,5.67776078,5.7564819,5.61871994,5.61871994,265997415.0,0.2805,15.295957,0.229246,-90.818616,0.829298,0.016032
2025-07-14,sh.600028,5.63840022,5.7072812,5.63840022,5.67776078,140146982.0,0.1478,15.456685,0.231654,-91.772927,0.838012,0.016032
2025-07-15,sh.600028,5.66792064,5.69744106,5.62856008,5.66792064,109590333.0,0.1156,15.429897,0.231253,-91.613875,0.83656,0.016032
2025-07-16,sh.600028,5.66792064,5.69744106,5.64824036,5.66792064,76287429.0,0.0804,15.429897,0.231253,-91.613875,0.83656,0.016032
